timestamp,arbitration_id,extended,remote,error,dlc,data
1753812802.3482804,0x158,0,0,0,8,AAAAAAAAAAo=
1753812802.3485754,0x161,0,0,0,8,BXgFeCAIAA4=
1753812802.34874,0x17c,0,0,0,8,AAAC7gAAAAY=
1753812802.3487535,0x18e,0,0,0,3,CAAJ
1753812802.349235,0x191,0,0,0,8,AQAAoUCAfzw=
1753812802.349458,0x1cf,0,0,0,8,gAUAAAAEACk=
1753812802.3494713,0x1dc,0,0,0,4,AgLuLA==
1753812802.349812,0x1ed,0,0,0,3,Af8r
1753812802.3498955,0x320,0,0,0,8,AAAAAAAAACE=
1753812802.3500044,0x324,0,0,0,8,fWYBfgAAACc=
1753812802.3505096,0x328,0,0,0,8,AAAAAACAABI=
1753812802.350737,0x384,0,0,0,7,E2QABAAAJQ==
1753812802.3509014,0x385,0,0,0,8,gAAAALuAACA=
1753812802.351077,0x3d7,0,0,0,8,sAAAAAAAAH8=
1753812802.3513699,0x400,0,0,0,5,AAAAACI=
1753812802.3514535,0x403,0,0,0,5,AAAAAC8=
1753812802.3517327,0x40c,0,0,0,8,MTE5WEZCNC4=
1753812802.351833,0x40f,0,0,0,8,EQAUAQkEAC4=
1753812802.3521574,0x454,0,0,0,6,OfICKyYl
1753812802.352176,0x465,0,0,0,8,AAAAAAAAASY=
1753812802.3523982,0x313,0,0,0,2,AC8=
1753812802.3529403,0x156,0,0,0,6,ACsAAAcX
1753812802.3530543,0x1fb,0,0,0,1,Og==
1753812802.3532486,0x39b,0,0,0,2,AC8=
1753812802.353378,0x1e2,0,0,0,4,EFXwHA==
1753812802.355223,0x91,0,0,0,8,gAAIFgUAACA=
1753812802.3552413,0x19b,0,0,0,5,AAAAACE=
1753812802.3561697,0x183,0,0,0,8,AAAAKwAAADw=
1753812802.3577108,0x133,0,0,0,5,AAAAABA=
1753812802.3578627,0x13c,0,0,0,8,AAsANwAABB4=
1753812802.3584092,0x158,0,0,0,8,AAAAAAAAABk=
1753812802.3584912,0x161,0,0,0,8,BXgFeCAIAB0=
1753812802.3588066,0x17c,0,0,0,8,AAAC7wAAABQ=
1753812802.3588219,0x18e,0,0,0,3,CAAY
1753812802.3590803,0x191,0,0,0,8,AQAAoUCAfw8=
1753812802.3594358,0x1a6,0,0,0,8,BAAgUk+AAIc=
1753812802.3636,0x156,0,0,0,6,ACsAAAcm
1753812802.3641748,0x1eb,0,0,0,2,ACw=
1753812802.3644679,0x91,0,0,0,8,gAAIFgUAAD8=
1753812802.364639,0x19b,0,0,0,5,AAAAADA=
1753812802.3648849,0x1a4,0,0,0,8,AGYQAAAAADk=
1753812802.3649714,0x183,0,0,0,8,AAAALwAAAAs=
1753812802.365487,0x1a8,0,0,0,4,AAAAMg==
1753812802.3655019,0x1aa,0,0,0,8,f/8AAAAAZjA=
1753812802.3657286,0x1b0,0,0,0,7,AAAAAAABdA==
1753812802.3660595,0x1d0,0,0,0,8,AAAAAAAAAAo=
1753812802.3663332,0x1ea,0,0,0,8,AAAAAAAAADw=
1753812802.3666337,0x255,0,0,0,8,AAAAAFVV138=
1753812802.3681545,0x133,0,0,0,5,AAAAAC8=
1753812802.3682156,0x13c,0,0,0,8,AAsANwAABC0=
1753812802.368248,0x158,0,0,0,8,AAAAAAAAACg=
1753812802.3684325,0x161,0,0,0,8,BXgFeCAIACw=
1753812802.3688753,0x17c,0,0,0,8,AAAC7wAAACM=
1753812802.3689046,0x18e,0,0,0,3,CAAn
1753812802.3689911,0x191,0,0,0,8,AQAAoUCAfx4=
1753812802.369373,0x1cf,0,0,0,8,gAUAAAAEADg=
1753812802.3693922,0x1dc,0,0,0,4,AgLvOg==
1753812802.3696415,0x1ed,0,0,0,3,Af86
1753812802.373255,0x156,0,0,0,6,ACsAAAc1
1753812802.373345,0x1fb,0,0,0,1,DQ==
1753812802.3737586,0x1e2,0,0,0,4,EFXwKw==
1753812802.374753,0x91,0,0,0,8,gAAIGgUAAA4=
1753812802.3747697,0x19b,0,0,0,5,AAAAAAM=
1753812802.3770373,0x183,0,0,0,8,AAAAMgAAABY=
1753812802.3781676,0x133,0,0,0,5,AAAAAD4=
1753812802.378628,0x13c,0,0,0,8,AAsANwAABDw=
1753812802.378646,0x158,0,0,0,8,AAAAAAAAADc=
1753812802.3786478,0x161,0,0,0,8,BXgFeCAIADs=
1753812802.3791745,0x17c,0,0,0,8,AAAC7wAAADI=
1753812802.3792384,0x18e,0,0,0,3,CAA2
1753812802.379271,0x191,0,0,0,8,AQAAoUCAfy0=
1753812802.3792791,0x1a6,0,0,0,8,BAAgUk+AAJY=
1753812802.379869,0x21e,0,0,0,7,AABHUiRsHA==
1753812802.3799002,0x221,0,0,0,3,R/2T
1753812802.3799384,0x294,0,0,0,8,BBYABwJEABw=
1753812802.380051,0x295,0,0,0,4,AAAAFw==
1753812802.3833022,0x156,0,0,0,6,ACsAAAcI
1753812802.3838458,0x39,0,0,0,3,AAAb
1753812802.3843613,0x1eb,0,0,0,2,ADs=
1753812802.3845634,0x91,0,0,0,8,gAAIGgUAAB0=
1753812802.3846262,0x19b,0,0,0,5,AAAAABI=
1753812802.3847616,0x1a4,0,0,0,8,AGYQAAAAAAw=
1753812802.3850343,0x183,0,0,0,8,AAAALAAAACw=
1753812802.3852143,0x1a8,0,0,0,4,AAAABQ==
1753812802.3854837,0x1aa,0,0,0,8,f/8AAAAAZgM=
1753812802.3857133,0x1b0,0,0,0,7,AAAAAAABRw==
1753812802.3860354,0x1d0,0,0,0,8,AAAAAAAAAAo=
1753812802.3861117,0x1ea,0,0,0,8,AAAAAAAAAA8=
1753812802.3882906,0x133,0,0,0,5,AAAAAAE=
1753812802.3883386,0x13c,0,0,0,8,AAsANwAABA8=
1753812802.3886988,0x158,0,0,0,8,AAAAAAAAAAo=
1753812802.3887324,0x161,0,0,0,8,BXgFeCAIAA4=
1753812802.3888052,0x17c,0,0,0,8,AAAC7wAAAAU=
1753812802.3890216,0x18e,0,0,0,3,CAAJ
1753812802.389084,0x191,0,0,0,8,AQAAoUCAfzw=
